01,國文下,3,101 80002,一7.8.9
02,國文下,3,101 80002,一7.8.9
03,國文下,3,101 80002,一7.8.9
04,國文下,3,101 80002,五7.8.9
05,國文下,3,101 80002,五7.8.9
06,國文下,3,101 80002,五7.8.9
07,國文下,3,101 80002,五7.8.9
08,國文下,3,101 80002,五7.8.9
09,國文下,3,101 80002,五7.8.9
10,國文下,3,101 80002,五7.8.9
11,國文下,3,101 80002,五7.8.9
12,國文下,3,101 80002,五7.8.9
13,國文下,3,101 80002,五7.8.9
14,國文下,3,101 80002,一1.2四1.2
14,國文下,3,101 80002,一1.2四1.2
14,國文下,3,101 80002,一1.2四1.2
14,國文下,3,101 80002,一1.2四1.2
15,國文下,3,101 80002,一1.2四1.2
15,國文下,3,101 80002,一1.2四1.2
15,國文下,3,101 80002,一1.2四1.2
15,國文下,3,101 80002,一1.2四1.2
16,國文下,3,101 80002,一1.2四1.2
16,國文下,3,101 80002,一1.2四1.2
16,國文下,3,101 80002,一1.2四1.2
16,國文下,3,101 80002,一1.2四1.2
17,國文下,3,101 80002,一1.2四1.2
17,國文下,3,101 80002,一1.2四1.2
17,國文下,3,101 80002,一1.2四1.2
17,國文下,3,101 80002,一1.2四1.2
18,國文下,3,101 80002,一1.2四1.2
18,國文下,3,101 80002,一1.2四1.2
18,國文下,3,101 80002,一1.2四1.2
18,國文下,3,101 80002,一1.2四1.2
19,國文下,3,101 80002,一1.2四1.2
19,國文下,3,101 80002,一1.2四1.2
19,國文下,3,101 80002,一1.2四1.2
19,國文下,3,101 80002,一1.2四1.2
20,國文下,3,101 80002,一1.2四1.2
20,國文下,3,101 80002,一1.2四1.2
20,國文下,3,101 80002,一1.2四1.2
20,國文下,3,101 80002,一1.2四1.2
21,國文下,3,101 80002,一1.2四1.2
21,國文下,3,101 80002,一1.2四1.2
21,國文下,3,101 80002,一1.2四1.2
21,國文下,3,101 80002,一1.2四1.2
22,國文下,3,101 80002,一1.2四1.2
22,國文下,3,101 80002,一1.2四1.2
22,國文下,3,101 80002,一1.2四1.2
22,國文下,3,101 80002,一1.2四1.2
23,國文下,3,101 80002,一1.2四1.2
23,國文下,3,101 80002,一1.2四1.2
23,國文下,3,101 80002,一1.2四1.2
23,國文下,3,101 80002,一1.2四1.2
24,國文下,3,101 80002,一1.2四1.2
24,國文下,3,101 80002,一1.2四1.2
24,國文下,3,101 80002,一1.2四1.2
24,國文下,3,101 80002,一1.2四1.2
25,國文下,3,101 80002,一1.2四1.2
25,國文下,3,101 80002,一1.2四1.2
25,國文下,3,101 80002,一1.2四1.2
25,國文下,3,101 80002,一1.2四1.2
26,國文下,3,101 80002,一1.2四1.2
26,國文下,3,101 80002,一1.2四1.2
26,國文下,3,101 80002,一1.2四1.2
26,國文下,3,101 80002,一1.2四1.2
27,國文下,3,101 80002,一1.2四1.2
27,國文下,3,101 80002,一1.2四1.2
27,國文下,3,101 80002,一1.2四1.2
27,國文下,3,101 80002,一1.2四1.2
28,國文下,3,101 80002,一1.2四1.2
28,國文下,3,101 80002,一1.2四1.2
28,國文下,3,101 80002,一1.2四1.2
28,國文下,3,101 80002,一1.2四1.2
29,國文下,3,101 80002,一1.2四1.2
29,國文下,3,101 80002,一1.2四1.2
29,國文下,3,101 80002,一1.2四1.2
29,國文下,3,101 80002,一1.2四1.2
30,國文下,3,101 80002,一1.2四1.2
30,國文下,3,101 80002,一1.2四1.2
30,國文下,3,101 80002,一1.2四1.2
30,國文下,3,101 80002,一1.2四1.2
31,國文下,3,101 80002,一1.2四1.2
31,國文下,3,101 80002,一1.2四1.2
31,國文下,3,101 80002,一1.2四1.2
31,國文下,3,101 80002,一1.2四1.2
32,國文下,3,101 80002,一1.2四1.2
32,國文下,3,101 80002,一1.2四1.2
32,國文下,3,101 80002,一1.2四1.2
32,國文下,3,101 80002,一1.2四1.2
33,國文下,3,101 80002,一1.2四1.2
33,國文下,3,101 80002,一1.2四1.2
33,國文下,3,101 80002,一1.2四1.2
33,國文下,3,101 80002,一1.2四1.2
34,國文下,3,101 80002,一1.2四1.2
34,國文下,3,101 80002,一1.2四1.2
34,國文下,3,101 80002,一1.2四1.2
34,國文下,3,101 80002,一1.2四1.2
35,國文下,3,101 80002,一7.8.9
35,國文下,3,101 80002,一7.8.9
35,國文下,3,101 80002,一7.8.9
35,國文下,3,101 80002,一7.8.9
36,國文下,3,101 80002,一7.8.9
36,國文下,3,101 80002,一7.8.9
36,國文下,3,101 80002,一7.8.9
36,國文下,3,101 80002,一7.8.9
37,國文下,3,101 80002,一7.8.9
37,國文下,3,101 80002,一7.8.9
37,國文下,3,101 80002,一7.8.9
